Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20
2025-04-17,836.52,843.41,829.62,834.55,33684502,0.0,0.0,,
2025-04-18,840.46,845.39,837.5,837.5,20101219,0.0,0.0,,
2025-04-21,831.59,834.55,819.77,822.72,18415705,0.0,0.0,,
2025-04-22,813.86,816.81,804.0,804.0,28888527,0.0,0.0,,
2025-04-23,840.46,860.16,835.53,860.16,37863656,0.0,0.0,831.79,
2025-04-24,872.97,872.97,846.37,851.3,32238198,0.0,0.0,835.14,
2025-04-25,886.77,887.75,872.97,874.94,34640282,0.0,0.0,842.62,
2025-04-28,884.8,884.8,879.87,883.81,21830091,0.0,0.0,854.84,
2025-04-29,883.81,888.74,879.87,888.74,24362874,0.0,0.0,871.79,
2025-04-30,887.75,894.65,885.78,894.65,35405654,0.0,0.0,878.69,
2025-05-02,924.21,936.03,918.3,936.03,43873135,0.0,0.0,895.63,
2025-05-05,941.94,942.93,909.43,924.21,52770209,0.0,0.0,905.49,
2025-05-06,902.53,916.33,902.53,906.47,37538894,0.0,0.0,910.02,
2025-05-07,911.4,918.3,897.61,914.36,36907620,0.0,0.0,915.14,
2025-05-08,919.28,925.19,904.5,904.5,27985917,0.0,0.0,917.11,
2025-05-09,924.21,935.05,920.27,935.05,36383573,0.0,0.0,916.92,
2025-05-12,939.97,947.86,938.0,942.93,23402547,0.0,0.0,920.66,
2025-05-13,975.44,975.44,954.75,954.75,38047856,0.0,0.0,930.32,
2025-05-14,975.44,984.31,973.47,984.31,40475123,0.0,0.0,944.31,
2025-05-15,985.3,985.3,978.4,978.4,24662270,0.0,0.0,959.09,896.67
2025-05-16,976.43,983.33,974.46,983.33,16878650,0.0,0.0,968.74,904.11
2025-05-19,978.4,979.39,965.59,969.53,19906139,0.0,0.0,974.06,910.71
2025-05-20,976.43,979.39,963.62,963.62,20897857,0.0,0.0,975.84,917.75
2025-05-21,971.5,984.31,968.55,975.44,26248757,0.0,0.0,974.06,926.33
2025-05-22,973.47,973.47,964.61,967.56,18747545,0.0,0.0,971.9,931.7
2025-05-23,978.4,978.4,960.67,969.53,22213030,0.0,0.0,969.14,937.61
2025-05-26,960.67,969.53,960.67,961.65,19329052,0.0,0.0,967.56,941.94
2025-05-27,956.72,960.67,946.87,950.81,26355315,0.0,0.0,965.0,945.29
2025-05-28,969.53,970.52,952.78,952.78,26471533,0.0,0.0,960.47,948.5
2025-05-29,971.5,971.5,952.78,952.78,48602590,0.0,0.0,957.51,951.4
2025-06-02,943.92,946.87,932.09,932.09,33676511,0.0,0.0,950.02,951.2
2025-06-03,945.89,950.81,936.03,936.03,26020787,0.0,0.0,944.9,951.8
2025-06-04,959.68,975.44,955.74,975.44,37233567,0.0,0.0,949.82,955.24
2025-06-05,985.3,985.3,976.43,983.33,24414444,0.0,0.0,955.93,958.69
2025-06-06,982.34,982.34,976.43,980.37,13670307,0.0,0.0,961.45,962.49
2025-06-09,990.22,995.15,985.3,990.22,21674308,0.0,0.0,973.08,965.24
2025-06-10,1009.93,1034.56,1005.0,1029.64,44877640,0.0,0.0,991.8,969.58
2025-06-11,1049.34,1054.27,1039.49,1049.34,37178498,0.0,0.0,1006.58,974.31
2025-06-12,1043.9,1048.85,1034.01,1034.01,25221606,4.5,0.0,1016.72,976.8
2025-06-13,1029.06,1029.06,1014.22,1019.16,28393455,0.0,0.0,1024.47,978.83
2025-06-16,1019.16,1019.16,1004.32,1014.22,28580673,0.0,0.0,1029.27,980.38
2025-06-17,1029.06,1038.95,1024.11,1034.01,26517379,0.0,0.0,1030.15,983.6
2025-06-18,1029.06,1043.9,1019.16,1043.9,37931721,0.0,0.0,1029.06,987.62
2025-06-19,1034.01,1034.01,1019.16,1024.11,24002557,0.0,0.0,1027.08,990.05
2025-06-20,1019.16,1043.9,1014.22,1043.9,57831332,0.0,0.0,1032.03,993.87
2025-06-23,1014.22,1019.16,1004.32,1009.27,32143872,0.0,0.0,1031.04,995.85
2025-06-24,1034.01,1038.95,1029.06,1038.95,28163537,0.0,0.0,1032.03,999.72
2025-06-25,1048.85,1058.74,1043.9,1058.74,38783736,0.0,0.0,1034.99,1005.11
2025-06-26,1063.69,1068.64,1053.79,1063.69,36056692,0.0,0.0,1042.91,1010.66
2025-06-27,1058.74,1068.64,1048.85,1068.64,32549027,0.0,0.0,1047.86,1016.45
2025-06-30,1063.69,1068.64,1048.85,1048.85,32413717,0.0,0.0,1055.77,1022.29
2025-07-01,1068.64,1083.48,1063.69,1073.58,44299887,0.0,0.0,1062.7,1029.17
2025-07-02,1063.69,1073.58,1058.74,1073.58,23822731,0.0,0.0,1065.67,1034.08
2025-07-03,1093.37,1093.37,1078.53,1078.53,36973556,0.0,0.0,1068.64,1038.84
2025-07-04,1083.48,1088.43,1068.64,1073.58,20363322,0.0,0.0,1069.62,1043.5
2025-07-07,1068.64,1073.58,1058.74,1068.64,18829372,0.0,0.0,1073.58,1047.42
2025-07-08,1058.74,1068.64,1053.79,1068.64,27461252,0.0,0.0,1072.59,1049.37
2025-07-09,1058.74,1078.53,1053.79,1078.53,23618216,0.0,0.0,1073.58,1050.83
2025-07-10,1083.48,1088.43,1078.53,1088.43,22350503,0.0,0.0,1075.56,1053.55
2025-07-11,1083.48,1088.43,1078.53,1088.43,28249780,0.0,0.0,1078.53,1057.01
2025-07-14,1088.43,1088.43,1073.58,1083.48,25760632,0.0,0.0,1081.5,1060.47
2025-07-15,1083.48,1103.27,1078.53,1098.32,45416390,0.0,0.0,1087.44,1063.69
2025-07-16,1108.22,1118.11,1108.22,1118.11,31013743,0.0,0.0,1095.35,1067.4
2025-07-17,1118.11,1123.06,1103.27,1118.11,30648595,0.0,0.0,1101.29,1072.1
2025-07-18,1142.85,1147.8,1132.95,1142.85,46645034,0.0,0.0,1112.17,1077.05
2025-07-21,1132.95,1137.9,1123.06,1137.9,26749324,0.0,0.0,1123.06,1083.48
2025-07-22,1132.95,1147.8,1118.11,1118.11,50457506,0.0,0.0,1127.02,1087.44
